,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8
GSM7888955,-7.358723023372305,3.4982508675278257,0.6811343793468456,3.307865639281605,8.498250867527826,-2.0537905141187798,2.766383141001298,5.907611762852173
GSM7888957,-11.222516460544384,0.0,0.2979543901829535,1.7342218662207791,7.547665748353421,-3.7650840737878233,4.134220939760634,6.832890014164741
GSM7888959,1.8036412087174531,2.2761988650322413,1.1557492326779446,2.9345165015860797,7.706668682179746,2.2706670587720548,1.3785116232537298,8.829405624404291
GSM7888961,1.9927316397661585,3.5058909297299574,0.2877086862454172,3.0809986856942633,5.361417466789213,0.40975648306907236,2.8108543624114968,6.809928865721431
GSM7888963,33.561876292997226,0.0,0.18091166336856906,2.5402753041658617,5.037821465434967,0.7757215007415751,2.3510628989403854,6.120600773845165
GSM7888965,-25.64734276216965,0.0,2.1814206402801415,2.8830342356551513,7.605109073832932,-3.4256354781946463,4.958842675243241,6.321386982782167
GSM7888967,-18.068219054275342,2.961067626267791,0.5675454476437467,4.165911938935689,8.84799690655495,-0.915812751000428,1.6694803718774263,7.9014703198242655
GSM7888969,7.0039989727571434,0.0,0.35558014737735943,1.9392265777282087,8.523169866085611,3.1117013243009866,1.1110313123887439,7.162894799374784
GSM7888971,-4.80719773335604,3.449033060026763,0.435415240747814,2.266636642513989,8.483412733529022,-1.8836098542113549,2.9227687229171266,6.300672869424044
GSM7888973,-8.305485214885438,0.0,2.96236393150695,2.1249897699786637,7.022367813028454,-1.6577484868874035,2.464406885529609,7.401732849522621
GSM7888975,-12.171386845295133,2.951028213047745,3.242297625319036,3.4195388915137843,7.766197597300844,-2.1640853733836907,2.438559006923669,7.8604662585171665
GSM7888979,7.022713199555718,1.8094144442358984,1.6484654430273142,1.2892442851566424,6.248686626873828,-2.5151140546567627,2.820485342986379,6.51317488460363
GSM7888981,1.1607483358034054,1.8306609743997633,1.2726204546629918,2.7855505517392554,6.797012977836145,-1.5280479106799527,3.3908052357376706,6.126188210522101
GSM7888983,69.30248615885529,0.0,1.1557492326779446,0.0,5.716442236843321,2.4204189998872843,1.3779566338101137,6.733354340613827
GSM7888985,-6.660156476047579,1.3294106712185685,2.4111550369577577,0.9045033658200471,6.2925977202664525,2.0332829849643397,2.300123724569014,7.410239330776022
GSM7888987,20.685340718165808,3.9354597478052895,9.96188373994353,3.2968978577000776,6.969242604434498,1.6720230670950635,2.210077098903209,7.1147834472498515
GSM7888989,-10.554765668872397,2.2536867827322706,1.0593552776164212,2.090175949790207,6.505890929729957,5.140734506303581,4.142413437873741,5.977966757619478
GSM7888991,-29.81937744871378,1.7333543406138272,9.622783966156124,2.8806855252611245,5.766860143829545,-2.9924305759607477,4.40667271575583,7.414473836430928
GSM7888993,13.818510164117226,2.734655433479005,1.0028825085331214,3.355439197248686,6.529664802252241,-1.8247235252533949,4.28021399581062,7.730639955916791
GSM7888997,8.975960262109133,2.927706862422826,1.3230817895037326,2.444402036063007,7.880195728943098,5.623630703361103,3.1660726759467055,6.335390354693925
GSM7888999,-38.65391089948354,1.1845976841557606,1.8918080010354388,0.0,5.90544717873885,-2.180924476923304,4.933572638261024,11.51422090935813
GSM7889001,-2.758578804543391,3.3624698887502094,0.17874650598181627,0.9197595758550413,7.947783026255419,1.2790879362100935,2.524815928357506,7.095924419998536
GSM7889003,10.69965343871441,2.1737670677367067,0.3355975876419372,2.335711910320462,7.7073591320808825,2.1699825103531145,2.2957230245399685,6.816343705284859
